AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
163,146,156,214,175,62,100,42,33,205,259,21,59,628
7582,146,156,223,193,60,102,47,39,199,249,19,55,628
3362,153,164,213,175,72,107,43,38,206,245,20,48,628
3256,152,155,218,177,64,98,47,40,201,246,20,53,628
3316,159,166,203,177,73,106,51,44,202,241,19,44,628
7496,148,154,223,180,59,105,48,42,210,255,21,54,629
2127,151,150,214,159,63,104,38,31,213,257,19,47,629
8625,150,157,222,180,64,93,48,41,202,248,21,51,629
3990,157,166,220,176,66,106,45,40,212,260,22,46,630
3687,153,157,220,173,68,97,49,36,211,253,20,45,630
2552,150,155,205,160,64,94,45,35,210,256,20,52,630
4138,156,164,208,173,64,103,44,40,204,246,20,54,630
3344,144,162,218,190,68,108,44,40,206,255,20,58,631
3076,151,178,225,183,62,95,46,42,205,236,20,53,631
230,152,161,211,182,63,102,43,40,202,256,20,50,632
150,147,160,210,170,64,104,44,33,212,250,19,53,632
3730,159,169,210,182,72,101,45,38,207,240,21,58,633
2944,155,168,230,182,71,95,46,40,203,240,23,47,633
3258,148,160,212,183,70,97,42,36,204,248,20,51,633
6,154,167,218,176,71,104,46,36,211,244,23,57,634
8528,151,168,209,178,61,103,51,33,208,265,21,45,635
3156,154,168,225,183,70,107,50,41,207,255,21,50,635
3199,156,165,186,177,66,101,48,30,219,253,19,55,635
2752,148,165,235,184,69,95,46,37,205,254,20,52,635
3759,152,163,215,191,71,106,53,37,213,264,21,51,638
3956,163,170,200,179,68,103,52,38,208,249,20,45,638
3194,154,166,214,188,69,100,47,37,201,254,19,52,638
2373,154,158,223,172,65,100,42,37,208,264,21,49,640
2933,154,163,215,172,61,106,49,37,216,246,22,50,640
4009,152,168,212,185,75,101,43,39,206,254,22,48,640
3837,157,172,210,170,70,100,44,37,205,245,20,52,640
2505,151,164,222,194,71,98,47,42,204,245,21,44,640
3922,157,167,212,180,70,102,49,39,201,240,20,48,640
