WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
139,174,235,200,79,99,53,45,214,269,21,64,720
158,161,229,182,66,101,40,38,213,254,20,50,721
161,165,220,180,69,109,42,39,220,272,22,54,722
150,161,230,183,56,102,50,37,213,265,22,54,726
154,164,213,193,67,102,47,36,208,257,22,53,728
156,166,208,185,62,105,50,41,216,265,20,48,729
157,164,220,168,66,106,44,38,212,266,21,53,731
156,169,236,189,75,105,57,40,217,266,21,53,735
160,171,215,188,72,100,48,38,205,254,21,50,736
154,166,237,193,63,109,47,39,212,261,21,62,737
162,167,220,188,66,102,57,40,216,265,21,49,746
160,171,222,177,72,103,48,38,216,270,22,63,751
162,173,222,195,68,104,53,38,217,274,21,56,757
156,170,215,195,67,102,57,41,220,267,20,48,757
154,165,230,195,61,100,43,38,213,274,21,55,766
160,163,228,178,67,102,48,41,207,277,21,58,769
159,163,226,177,64,101,54,45,207,260,21,54,773
159,168,190,167,68,108,50,36,215,266,19,55,778
158,170,235,187,68,107,47,45,220,262,21,48,795
